name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,name,ra,dec,r0,PU,remove_code,_r_simbad,main_id,ra_simbad,dec_simbad,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z
HD 100199,172.7788016,-62.94692476,,HMXB,B0.5IIIne,Simbad,0.219914,2CXO J113106.9-625648,172.778935,-62.9469319,0.713,0.713,2,0.221661,HD 100199,172.7788004432,-62.9469251233,0.0,0.0,90.0,94.0,11 31 06.91211,-62 56 48.9304,A,2020yCat.1350....0G,HMXB,*  |Be*|Em*|HXB|IR |UV |X  |gam,-22.0,7.4,-7.34e-05,2.47e-05,B0/1(III)n(e),,0.5732,0.0467,-6.098,1.373,0.048,0.048,90,,,,8.147,8.17,8.98,8.048,8.067,8.009,,9.92,9.09,8.42,
NGP +29 43,181.651,28.2832778,,LM-STAR,G8V,1962AJ.....67...37U,0.584329,2CXO J120636.1+281659,181.6508171,28.2832981,0.981,0.981,2,0.563382,TYC 1988-1176-1,181.6509898,28.2832612,0.016,0.027,90.0,5.0,12 06 36.23755,+28 16 59.7403,B,2012yCat.1322....0Z,PM*,*  |IR |PM*|X,,,,,G8V,,,,-86.9,7.7,0.9,1.3,90,,,,12.14,11.17,10.87,9.502,9.042,8.909,15.397,11.64,10.86,10.59,11.251
BD+30 2254,184.7984167,29.2003611,,LM-STAR,F5,1952CoRut..32....1H,0.448302,2CXO J121911.5+291201,184.7983309,29.2004606,0.824,0.824,2,0.420446,V* MW Com,184.7984189836,29.2003726908,0.0,0.0,90.0,20.0,12 19 11.62056,+29 12 01.3417,A,2020yCat.1350....0G,EB*,*  |EB*|IR |V* |X,,,,,F6(N),,3.3958,0.0199,-44.011,11.952,0.02,0.019,90,,,,10.5,10.1,9.88,9.342,9.165,9.116,15.251,10.47,10.129,10.104,10.521
UI +30 16,184.7984167,29.2003611,,LM-STAR,F5,1963AJ.....68..194U,0.448302,2CXO J121911.5+291201,184.7983309,29.2004606,0.824,0.824,2,0.420446,V* MW Com,184.7984189836,29.2003726908,0.0,0.0,90.0,20.0,12 19 11.62056,+29 12 01.3417,A,2020yCat.1350....0G,EB*,*  |EB*|IR |V* |X,,,,,F6(N),,3.3958,0.0199,-44.011,11.952,0.02,0.019,90,,,,10.5,10.1,9.88,9.342,9.165,9.116,15.251,10.47,10.129,10.104,10.521
GSC 1991-0133,184.7984167,29.2003611,,LM-STAR,F3V,2001A&A...373..625P,0.448302,2CXO J121911.5+291201,184.7983309,29.2004606,0.824,0.824,2,0.420446,V* MW Com,184.7984189836,29.2003726908,0.0,0.0,90.0,20.0,12 19 11.62056,+29 12 01.3417,A,2020yCat.1350....0G,EB*,*  |EB*|IR |V* |X,,,,,F6(N),,3.3958,0.0199,-44.011,11.952,0.02,0.019,90,,,,10.5,10.1,9.88,9.342,9.165,9.116,15.251,10.47,10.129,10.104,10.521
BD+30 2254,184.7984167,29.2003611,,LM-STAR,F5,1966ArA.....3..535L,0.448302,2CXO J121911.5+291201,184.7983309,29.2004606,0.824,0.824,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 108318,186.6910417,-0.1833333,,LM-STAR,F1V,1981ApJS...45..437A,0.434984,2CXO J122645.8-001100,186.6910401,-0.1834541,0.732,0.732,2,0.506535,HD 108318,186.6910348107,-0.1833134954,0.0,0.0,90.0,22.0,12 26 45.84835,-00 10 59.9286,A,2020yCat.1350....0G,**,*  |** |IR |UV,-19.2,1.4,-6.4e-05,4.7e-06,F0III,,10.4308,0.312,-38.755,-0.443,0.312,0.258,90,0.0117,0.0,161,8.0,7.73,,7.083,7.036,6.93,,,,,
J1227-4853,186.994583,-48.895278,1.0,LMXB,XT,2003A&A...404..301R,0.644811,2CXO J122758.7-485343,186.9948164,-48.8953703,0.711,2.122621256842586,2,0.514959,XSS J12270-4859,186.9947820131,-48.8952290536,0.0,0.0,90.0,229.0,12 27 58.74768,-48 53 42.8246,A,2020yCat.1350....0G,LMXB,*  |CV*|CV?|IR |LXB|Psr|X  |gam,,,,,,,0.4635,0.1276,-18.772,7.297,0.106,0.088,90,,,,,,,15.73,15.43,15.31,,,,,
J1227-4853,186.9946833333333,-48.895205833333335,0.015,NS_BIN,"HE[pdb+15,jrr+15]",2005AJ....129.1993M,0.670817,2CXO J122758.7-485343,186.9948164,-48.8953703,0.711,0.7520113031065424,2,0.514959,XSS J12270-4859,186.9947820131,-48.8952290536,0.0,0.0,90.0,229.0,12 27 58.74768,-48 53 42.8246,A,2020yCat.1350....0G,LMXB,*  |CV*|CV?|IR |LXB|Psr|X  |gam,,,,,,,0.4635,0.1276,-18.772,7.297,0.106,0.088,90,,,,,,,15.73,15.43,15.31,,,,,
AL Com,188.107917,14.345278,1.0,CV,DN,2003A&A...404..301R,2.259571,2CXO J123225.7+142041,188.10736,14.3449575,1.255,2.3611490846619576,2,0.610788,V* AL Com,188.1074798978,14.3450811634,0.0,0.0,90.0,240.0,12 32 25.79518,+14 20 42.2922,A,2020yCat.1350....0G,CataclyV*,*  |CV*|No*|V* |X,,,,,,,1.9026,0.5653,-19.556,-31.805,0.508,0.602,90,,,,,16.2,,19.0,18.08,18.0,15.49,15.282,15.477,15.6,15.692
[BAH2001] 108,189.1058333,62.2346389,,LM-STAR,M4,2004ApJ...611.1107F,0.46338,2CXO J123625.3+621405,189.1057523,62.234762,0.716,0.716,2,0.382012,CXOHDFN J123625.4+621404,189.1058248331,62.2346614089,0.0,0.0,90.0,17.0,12 36 25.39796,+62 14 04.7811,A,2020yCat.1350....0G,Star,*  |G  |IR |X,,,,,,,2.1343,0.0862,-15.412,9.374,0.108,0.108,90,,,,20.463,19.174,17.43,16.422,16.361,16.53,22.543,19.768,18.759,17.084,16.734
[BAH2001] 157,189.16725,62.3281944,,LM-STAR,M5,2004ApJ...611.1107F,0.732685,2CXO J123640.0+621942,189.1670251,62.3283691,0.894,0.894,2,0.732609,CXOHDFN J123640.1+621942,189.16725,62.3281944444,0.06,0.06,90.0,9.0,12 36 40.14,+62 19 41.5,C,2003yCat.2246....0C,Star,*  |G  |IR |X,,,,,,,,,,,,,,,,,18.2,16.9,17.9,14.1,13.7,13.8,,,,,14.9
[M60b] +36 497,193.9227083,35.9488333,,LM-STAR,F2,1960UppAn...4i...1M,0.308738,2CXO J125541.4+355655,193.9226332,35.9487728,0.797,0.797,2,0.043127,HD 112339,193.9226199191,35.9487675162,0.0,0.0,90.0,13.0,12 55 41.42878,+35 56 55.5631,A,2020yCat.1350....0G,Star,*  |IR,-11.72,0.76,-3.91e-05,2.5e-06,F5V,,5.0008,0.018,-33.441,-6.313,0.009,0.011,90,,,,9.89,9.46,,8.62,8.446,8.377,,,,,
LP  322-336,195.34157306,27.83807611,,LM-STAR,Md_c,2020AJ....160..120J,0.342804,2CXO J130121.9+275016,195.3416455,27.8380056,0.766,0.766,2,0.475778,LP  322-336,195.3415920305,27.8381290134,0.0,0.0,90.0,3.0,13 01 21.98209,+27 50 17.2644,A,2020yCat.1350....0G,PM*,*  |IR |PM*|X,,,,,M3-4,,17.0916,0.0156,-60.213,-101.717,0.015,0.02,90,,,,,,,10.795,10.21,9.952,17.463,15.744,13.765,12.794,14.404
2CXO J130121.9+275016,195.34157306,27.83807611,,LM-STAR,Md_a,2020AJ....160..120J,0.342804,2CXO J130121.9+275016,195.3416455,27.8380056,0.766,0.766,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J130121.9+275016,195.34157306,27.83807611,,LM-STAR,Md_b,2020AJ....160..120J,0.342804,2CXO J130121.9+275016,195.3416455,27.8380056,0.766,0.766,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPD-63  2495,195.6985591,-63.83572942,,HMXB,B2e,Simbad,0.104168,2CXO J130247.6-635008,195.6985128,-63.8357089,0.71,0.71,2,0.105971,CPD-63  2495,195.6985600063,-63.835729714,0.0,0.0,90.0,728.0,13 02 47.65440,-63 50 08.6270,A,2020yCat.1350....0G,HMXB,*  |Be*|Em*|HXB|IR |Psr|Rad|UV |V* |X  |gam,,,,,O9.5Ve,,0.4434,0.0133,-7.093,-0.342,0.012,0.014,90,,,,10.72,9.98,10.03,8.026,7.699,7.248,,10.66,9.64,9.13,
HD 116099,200.518625,-45.0564444,,LM-STAR,G2IV,2006A&A...460..695T,0.498106,2CXO J132204.4-450323,200.5184347,-45.0564116,0.748,0.748,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYC 8248-0539-1,200.518625,-45.0564444,,YSO,G0IV,2002AJ....124.1670M,0.498106,2CXO J132204.4-450323,200.5184347,-45.0564116,0.748,0.748,2,0.483333,HD 116099,200.5186212301,-45.0564373503,0.0,0.0,90.0,24.0,13 22 04.46910,-45 03 23.1745,A,2020yCat.1350....0G,YSO,*  |IR |V* |X  |Y*O|cC*,3.85,13.02,1.28e-05,4.34e-05,G2IV,,6.9349,0.0193,-24.727,-15.376,0.02,0.019,90,,,,10.71,10.02,,8.957,8.618,8.543,,,,,
HD 116099,200.518625,-45.0564444,,LM-STAR,G0V,2016MNRAS.461..794P,0.498106,2CXO J132204.4-450323,200.5184347,-45.0564116,0.748,0.748,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 116099,200.518625,-45.0564444,,YSO,G0/3,1978MSS...C02....0H,0.498106,2CXO J132204.4-450323,200.5184347,-45.0564116,0.748,0.748,2,0.483333,HD 116099,200.5186212301,-45.0564373503,0.0,0.0,90.0,24.0,13 22 04.46910,-45 03 23.1745,A,2020yCat.1350....0G,YSO,*  |IR |V* |X  |Y*O|cC*,3.85,13.02,1.28e-05,4.34e-05,G2IV,,6.9349,0.0193,-24.727,-15.376,0.02,0.019,90,,,,10.71,10.02,,8.957,8.618,8.543,,,,,
HD 120812,208.1991667,-46.7358889,,LM-STAR,F8V,2006A&A...460..695T,0.570769,2CXO J135247.8-464409,208.1991702,-46.7360474,0.718,0.718,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 120812,208.1991667,-46.7358889,,YSO,F8/G0V,1978MSS...C02....0H,0.570769,2CXO J135247.8-464409,208.1991702,-46.7360474,0.718,0.718,2,0.578832,HD 120812,208.1991233646,-46.7358898499,0.0,0.0,90.0,17.0,13 52 47.78961,-46 44 09.2035,A,2020yCat.1350....0G,YSO,*  |IR |Pe*|Ro*|V* |X  |Y*O,10.3,2.74,3.44e-05,9.1e-06,F8V,,7.8638,0.3714,-22.807,-17.663,0.358,0.311,90,,,,10.27,9.674,,8.407,8.056,7.94,,,,,
TYC 8263-2453-1,208.1991667,-46.7358889,,YSO,G0IV,2002AJ....124.1670M,0.570769,2CXO J135247.8-464409,208.1991702,-46.7360474,0.718,0.718,2,0.578832,HD 120812,208.1991233646,-46.7358898499,0.0,0.0,90.0,17.0,13 52 47.78961,-46 44 09.2035,A,2020yCat.1350....0G,YSO,*  |IR |Pe*|Ro*|V* |X  |Y*O,10.3,2.74,3.44e-05,9.1e-06,F8V,,7.8638,0.3714,-22.807,-17.663,0.358,0.311,90,,,,10.27,9.674,,8.407,8.056,7.94,,,,,
NGC 5367 f,209.3576667,-39.977,,LM-STAR,G0V,1980A&A....82..295G,0.316169,2CXO J135725.8-395837,209.3575905,-39.9770656,0.99,0.99,2,0.269805,NGC  5367     7,209.3576648337,-39.977016895,0.0,0.0,90.0,5.0,13 57 25.83956,-39 58 37.2608,A,2020yCat.1350....0G,Star,*  |IR |X,,,,,F4,,2.0193,0.0142,-10.256,-4.471,0.016,0.017,90,,,,13.95,13.31,13.4,12.163,11.859,11.822,,,,,
GS 1354-64,209.54133333,-64.73469444,,LMXB,"T, U, R",2007A&A...469..807L,1.477074,2CXO J135809.6-644405,209.5404128,-64.7348127,0.711,0.711,2,0.474317,V* BW Cir,209.5404166667,-64.7349444444,0.2,0.2,90.0,212.0,13 58 09.700,-64 44 05.80,C,2016A&A...587A..61C,HMXB,BH?|HXB|LXB|No*|V* |X  |gam,,,,,,,,,,,,,,,,,18.0,16.9,,,,,,,,,
2CXO J140229.9+542118,210.62476194,54.35517889,,LM-STAR,Md_a,2020AJ....160..120J,0.299983,2CXO J140229.9+542118,210.6246223,54.3551969,0.713,0.713,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1411+4812,212.82625,48.216111,1.0,CV,AC,2003A&A...404..301R,0.396409,2CXO J141118.3+481257,212.8262555,48.2160009,0.719,2.125314329693375,2,0.21192,PM J14113+4812,212.8263356203,48.2159760967,0.0,0.0,90.0,29.0,14 11 18.32055,+48 12 57.5139,A,2020yCat.1350....0G,CataclyV*,*  |CV*|PM*|UV |WD*|WD?,,,,,DB,,2.2636,0.2485,-16.914,36.419,0.233,0.265,90,,,,18.7,19.37,19.2,,,,19.284,19.354,19.509,19.72,19.82
V504 Cen,213.204583,-40.360278,1.0,CV,NL,2003A&A...404..301R,0.311228,2CXO J141249.0-402136,213.2045416,-40.3601975,0.714,2.123628027692232,2,0.080738,V* V504 Cen,213.2045248814,-40.3602159578,0.0,0.0,90.0,13.0,14 12 49.08597,-40 21 36.7774,A,2020yCat.1350....0G,Erupt*RCrB,*  |IR |RC*|V* |pA*,,,,,,,1.7224,0.0721,-12.387,-4.47,0.141,0.115,90,,,,,,,12.684,12.579,12.499,,,,,
CG X-1,213.30125,-65.3369444,,CV,AM:,2005JAD....11....2D,1.381838,2CXO J141312.1-652013,213.300579,-65.337207,0.714,0.714,2,0.634795,[SGT2004] J141312.24-652014.0,213.301,-65.3372222222,,,172.0,22.0,14 13 12.24,-65 20 14.0,D,2004ApJS..154..519S,CataclyV*,CV*|ULX|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1417-4402,214.3775,-44.049167,1.0,LMXB,,2003A&A...404..301R,0.632183,2CXO J141730.5-440257,214.377275,-44.0492355,1.152,2.308051992481972,2,0.637134,PSR J1417-4402,214.3775166667,-44.0492694444,,,172.0,14.0,14 17 30.604,-44 02 57.37,D,2016ApJ...820....6C,Pulsar,Psr|Ro*,,,,,,,,,,,,,,,,,,15.84,,,,,,,,,
J1417-4402,214.3775,-44.049277777777775,1.35,NS_BIN,HE,2005AJ....129.1993M,0.601754,2CXO J141730.5-440257,214.377275,-44.0492355,1.152,2.5936661311741727,2,0.637134,PSR J1417-4402,214.3775166667,-44.0492694444,,,172.0,14.0,14 17 30.604,-44 02 57.37,D,2016ApJ...820....6C,Pulsar,Psr|Ro*,,,,,,,,,,,,,,,,,,15.84,,,,,,,,,
2CXO J142134.4+531753,215.39360694,53.29842806,,LM-STAR,GKd_b,2020AJ....160..120J,0.489353,2CXO J142134.4+531753,215.3937287,53.2983132,0.953,0.953,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 129791,221.4901667,-44.8675278,,HM-STAR,B8,1977MmRAS..84..119W,0.142136,2CXO J144557.6-445203,221.4901184,-44.8675475,0.71,0.71,2,0.122557,HD 129791,221.4901216629,-44.867513535,0.0,0.0,90.0,65.0,14 45 57.62920,-44 52 03.0487,A,2020yCat.1350....0G,Star,*  |** |IR |UV |X,19.0,5.0,6.34e-05,1.67e-05,A0V,,8.2374,0.0915,-19.191,-30.22,0.096,0.138,90,,,,6.96,6.92,,6.735,6.731,6.686,,,,,
HD 129791,221.4901667,-44.8675278,,HM-STAR,B9.5V,1972AJ.....77..474G,0.142136,2CXO J144557.6-445203,221.4901184,-44.8675475,0.71,0.71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 129791,221.4901667,-44.8675278,,LM-STAR,A0V,2001A&A...373..625P,0.142136,2CXO J144557.6-445203,221.4901184,-44.8675475,0.71,0.71,2,0.122557,HD 129791,221.4901216629,-44.867513535,0.0,0.0,90.0,65.0,14 45 57.62920,-44 52 03.0487,A,2020yCat.1350....0G,Star,*  |** |IR |UV |X,19.0,5.0,6.34e-05,1.67e-05,A0V,,8.2374,0.0915,-19.191,-30.22,0.096,0.138,90,,,,6.96,6.92,,6.735,6.731,6.686,,,,,
HD 129791,221.4901667,-44.8675278,,LM-STAR,A0V,1978MSS...C02....0H,0.142136,2CXO J144557.6-445203,221.4901184,-44.8675475,0.71,0.71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4U 1456-32,224.59166667,-31.66888889,,LMXB,"T, B, R",2007A&A...469..807L,1.071736,2CXO J145821.9-314007,224.5913223,-31.6688368,0.716,0.716,2,0.371166,V* V822 Cen,224.5913949342,-31.6687542869,0.0,0.0,90.0,528.0,14 58 21.93478,-31 40 07.5154,A,2020yCat.1350....0G,LMXB,*  |IR |LXB|N* |No*|PM*|V* |X  |gam,,,,,K3-K7V,,0.5272,0.1259,0.844,-55.682,0.154,0.127,90,,,,12.85,12.8,,15.601,15.051,14.663,,,,,
OV Boo,226.842917,52.511111,1.0,CV,DN,2003A&A...404..301R,0.725298,2CXO J150722.3+523039,226.8431396,52.5109619,3.325,3.880157857613528,2,0.373182,V* OV Boo,226.8432077379,52.5110569055,0.0,0.0,90.0,61.0,15 07 22.36986,+52 30 39.8049,A,2020yCat.1350....0G,CataclyV*,*  |CV*|CV?|PM*|V* |WD*,0.0,119.917,0.0,0.0004,DAe,,4.7149,0.0906,-149.273,41.138,0.076,0.098,90,,,,18.7,,18.5,,,,18.479,18.314,18.451,18.612,18.436
HD 134946,228.3225417,-24.0083333,,HM-STAR,B8III,1970MmRAS..72..233H,0.119484,2CXO J151317.4-240030,228.3225193,-24.0083594,0.715,0.715,2,0.161386,HD 134946,228.3225313429,-24.0083159413,0.0,0.0,90.0,28.0,15 13 17.40752,-24 00 29.9374,A,2020yCat.1350....0G,Star,*  |** |IR |UV,3.3,4.3,1.1e-05,1.43e-05,B8III,,6.4038,0.0789,-8.835,-21.962,0.102,0.087,90,,,,6.43,6.47,,6.439,6.469,6.46,,,,,
IM Nor,234.860417,-52.321667,1.0,CV,Nr,2003A&A...404..301R,0.357278,2CXO J153926.4-521918,234.8602814,-52.3217216,0.713,2.1232920194829537,2,0.209057,V* IM Nor,234.8602708333,-52.3216638889,,,172.0,80.0,15 39 26.465,-52 19 17.99,D,2002IAUC.7796....3G,Nova,No*|V*,,,,,,,,,,,,,,,,,,,,,,,,,,,
V381 Nor,237.745,-56.476389,1.0,LMXB,XT,2003A&A...404..301R,1.080774,2CXO J155058.6-562835,237.7444623,-56.4764331,0.71,2.122286502807762,2,0.115602,V* V381 Nor,237.744432467,-56.4764606625,0.001,0.001,90.0,1094.0,15 50 58.66379,-56 28 35.2584,A,2020yCat.1350....0G,HMXB,*  |BH?|HXB|LXB|V* |X  |gam,,,,,K3III,,2.347,2.5819,-6.49,-3.49,1.957,1.738,90,,,,17.95,16.6,,,,,,,,,
SDSS J155252+320150,238.2186593,32.030831,,CV,IBWD,2005JAD....11....2D,0.277231,2CXO J155252.4+320150,238.2187339,32.0307871,0.728,0.728,2,0.276705,SDSS J155252.48+320150.9,238.2186674182,32.0308393617,0.0,0.0,90.0,20.0,15 52 52.48018,+32 01 51.0217,A,2020yCat.1350....0G,CataclyV*,*  |CV*|WD*|WD?,,,,,DB,,2.3842,0.3174,5.962,-27.441,0.329,0.393,90,,,,,,,,,,20.13,20.229,20.325,20.41,20.57
UW CrB,241.440417,25.8625,1.0,LMXB,DC,2003A&A...404..301R,2.569371,2CXO J160545.8+255145,241.441205,25.862581,0.71,2.122286502807762,2,0.201244,V* UW CrB,241.4411444572,25.8625684717,0.0,0.0,90.0,63.0,16 05 45.87467,+25 51 45.2465,A,2020yCat.1350....0G,LMXB,*  |LXB|N* |V* |X  |gam,,,,,,,0.4029,0.3128,4.222,-6.625,0.186,0.292,90,,,,,19.7,,,,,19.527,19.546,19.705,19.845,19.911
4U 1608-52,243.17916667,-52.42305556,,LMXB,"T, B, A",2007A&A...469..807L,0.508998,2CXO J161243.0-522523,243.179378,-52.4231137,1.226,1.226,2,0.508989,V* QX Nor,243.1791666667,-52.4230555556,,,172.0,870.0,16 12 43.0,-52 25 23,D,2003A&A...411L..59E,LMXB,LXB|N* |N*?|V* |X  |gam,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 6093-CX15,244.25875,-22.9755,,CV,CV:,2005JAD....11....2D,2.833569,2CXO J161702.0-225834,244.2583769,-22.9762082,0.716,0.716,2,1.32167,[HGE2003] CX4,244.2583541667,-22.9758416667,,,172.0,4.0,16 17 02.005,-22 58 33.03,D,2003ApJ...598..516H,CataclyV*,CV*|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 147506c,245.15147889,41.04810694,,LM-STAR,Fd_b,2020AJ....160..120J,0.467358,2CXO J162036.3+410252,245.151605,41.0480186,0.718,0.718,2,0.392274,HD 147506c,245.1514913102,41.0480858455,0.0,0.0,90.0,2.0,16 20 36.35791,+41 02 53.1090,A,2018yCat.1345....0G,Planet,*  |Pl |Pl?,,,,,,,7.7975,0.0258,-10.312,-29.198,0.041,0.052,90,,,,,,,,,,,,,,
HD 147491,245.8455417,-26.3712222,,LM-STAR,G2IV,2006A&A...460..695T,0.056489,2CXO J162322.9-262216,245.845559,-26.3712195,0.729,0.729,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 147491,245.84555111,-26.37114306,,LM-STAR,GKd_b,2020AJ....160..120J,0.276406,2CXO J162322.9-262216,245.845559,-26.3712195,0.729,0.729,2,0.01876,HD 147491,245.8455606619,-26.371224494,0.0,0.0,90.0,40.0,16 23 22.93456,-26 22 16.4082,A,2020yCat.1350....0G,PulsV*delSct,*  |** |IR |V* |X  |Y*O|dS*,-2.62,2.5,-8.7e-06,8.3e-06,G2IV,,10.0036,0.0159,-17.769,-35.208,0.021,0.015,90,,,,10.22,9.84,9.84,8.324,8.026,7.915,,,,9.23,
NGC 6121-CX1,245.8922083,-26.5263611,,CV,CV,2005JAD....11....2D,0.137995,2CXO J162334.1-263134,245.8922274,-26.5263268,0.711,0.711,2,0.272022,[KTR2013] V58,245.8922916667,-26.5262777778,0.19,0.19,90.0,3.0,16 23 34.15,-26 31 34.6,C,2014PASP..126..521S,V*,*  |V* |X,,,,,,,,,,,,,,,,,,20.38,,15.0,14.52,14.37,,,,,
J1623-2631,245.892083,-26.526389,1.0,LMXB,QN,2003A&A...404..301R,0.516122,2CXO J162334.1-263134,245.8922274,-26.5263268,0.711,2.122621256842586,2,0.272022,[KTR2013] V58,245.8922916667,-26.5262777778,0.19,0.19,90.0,3.0,16 23 34.15,-26 31 34.6,C,2014PASP..126..521S,V*,*  |V* |X,,,,,,,,,,,,,,,,,,20.38,,15.0,14.52,14.37,,,,,
EM* SR   12,246.8313,-24.69455306,,YSO,Md_c,2020AJ....160..120J,0.456283,2CXO J162719.5-244140,246.831341,-24.6946742,0.715,0.715,2,0.468723,EM* SR   12,246.8312728288,-24.6945596746,0.0,0.0,90.0,172.0,16 27 19.50548,-24 41 40.4148,A,2018yCat.1345....0G,Orion_V*,*  |Em*|IR |Or*|Rad|Ro*|TT*|TT?|V* |X  |Y*O,-12.14,2.78,-4.05e-05,9.3e-06,M0IVe,,8.9034,0.4288,-7.703,-25.327,1.088,0.829,90,,,,,13.28,12.15,9.424,8.63,8.408,,,,,
1624-4904,247.011667,-49.198611,1.0,LMXB,DC,2003A&A...404..301R,0.670982,2CXO J162802.8-491154,247.0117844,-49.1984411,0.71,2.122286502807762,2,0.110988,2XMM J162802.8-491154,247.01175,-49.19842,0.2,0.2,90.0,1.0,16 28 02.82,-49 11 54.3,D,2012ApJ...756...27L,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYC 3063-2354-1,247.04150194,39.53700611,,LM-STAR,GKd_b,2020AJ....160..120J,0.445617,2CXO J162809.9+393213,247.0416612,39.5369905,0.877,0.877,2,0.364062,TYC 3063-2354-1,247.0415301624,39.5369867314,0.0,0.0,90.0,1.0,16 28 09.96724,+39 32 13.1522,A,2020yCat.1350....0G,Star,*  |IR |X,-2.9,0.38,-9.7e-06,1.3e-06,,,5.9523,0.0115,27.453,-21.065,0.012,0.014,90,,,,11.93,11.36,,10.014,9.721,9.64,15.236,11.625,11.125,10.993,11.219
HD 148352,247.1048333,-24.7502778,,YSO,F3V,1967ApJ...147.1003G,0.224864,2CXO J162825.1-244501,247.1047648,-24.7502833,0.912,0.912,2,0.353822,HD 148352,247.1048730215,-24.7502824813,0.0,0.0,90.0,48.0,16 28 25.16953,-24 45 01.0169,A,2020yCat.1350....0G,YSO,*  |IR |UV |X  |Y*O,-0.23,0.24,-8e-07,8e-07,F2V,,13.0833,0.0328,-52.607,-62.481,0.039,0.032,90,,,,7.89,7.55,,6.724,6.603,6.511,,,,,
HD 148352,247.1048333,-24.7502778,,LM-STAR,F2V,1988MSS...C04....0H,0.224864,2CXO J162825.1-244501,247.1047648,-24.7502833,0.912,0.912,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 148352,247.10485111,-24.75025194,,YSO,Fd_b,2020AJ....160..120J,0.303961,2CXO J162825.1-244501,247.1047648,-24.7502833,0.912,0.912,2,0.353822,HD 148352,247.1048730215,-24.7502824813,0.0,0.0,90.0,48.0,16 28 25.16953,-24 45 01.0169,A,2020yCat.1350....0G,YSO,*  |IR |UV |X  |Y*O,-0.23,0.24,-8e-07,8e-07,F2V,,13.0833,0.0328,-52.607,-62.481,0.039,0.032,90,,,,7.89,7.55,,6.724,6.603,6.511,,,,,
Cl* Westerlund 1 G,251.7667083,-45.857,,HM-STAR,WN7o,2006MNRAS.372.1407C,0.167354,2CXO J164704.0-455125,251.7667749,-45.8570032,0.753,0.753,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cl* Westerlund 1 G,251.7667083,-45.857,,HM-STAR,WN6/8,2005A&A...434..949C,0.167354,2CXO J164704.0-455125,251.7667749,-45.8570032,0.753,0.753,2,0.11918,Cl* Westerlund    1     CN      G,251.7667916667,-45.8569722222,0.32,0.32,90.0,17.0,16 47 04.03,-45 51 25.1,C,2007AJ....133.2696B,WR*,*  |V* |WR*|X,,,,,WN7o,,,,,,,,,,,,22.7,20.87,17.75,10.13,,,,,,,
Cl* Westerlund 1 G,251.7667083,-45.857,,HM-STAR,WN6/8,2002A&A...396L..25C,0.167354,2CXO J164704.0-455125,251.7667749,-45.8570032,0.753,0.753,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR 77sa,251.78166667,-45.82269444,,HM-STAR,WN7,2006A&A...458..453V,0.669577,2CXO J164707.6-454922,251.7818116,-45.8228506,0.744,0.744,2,0.245372,WR  77sa,251.7817514539,-45.8227968524,0.0,0.0,90.0,8.0,16 47 07.62035,-45 49 22.0687,A,2020yCat.1350....0G,WR*,*  |IR |WR*|X,,,,,WN6h,,0.0615,0.1774,-2.077,-3.614,0.217,0.179,90,,,,,,,12.233,10.422,10.167,,,,,
Cl* Westerlund 1 72,251.7846667,-45.8459722,,HM-STAR,WN4/5,2005A&A...434..949C,0.470585,2CXO J164708.3-455045,251.7848522,-45.8459918,0.711,0.711,2,0.191569,WR  77s,251.7848077173,-45.8459485387,0.0,0.0,90.0,27.0,16 47 08.35385,-45 50 45.4147,A,2020yCat.1350....0G,WR*,*  |V* |WR*|X,,,,,WN7b,,0.0643,0.0815,-1.98,-3.819,0.108,0.092,90,,,,,19.69,16.59,,,,,,,,
